_id	company_link	company_name	link	name	salary_currency	salary_max	salary_min	site
604e85ea3eeab1c46b7ec571	https://hh.ru/employer/37471	ООО Основа Лаб	https://hh.ru/vacancy/42254250?query=python	Инженер по автоматизации тестирования / Python разработчик	null	null	null	https://hh.ru
604e85ea3eeab1c46b7ec573	https://hh.ru/employer/58031	ООО ФК ПУЛЬС	https://hh.ru/vacancy/36618179?query=python	Ведущий программист Python	руб.	220000	160000	https://hh.ru
604e85ea3eeab1c46b7ec575	https://hh.ru/employer/3497676	ООО Лендсбэй	https://hh.ru/vacancy/42951641?query=python	Python разработчик (middle) (backend)	null	null	null	https://hh.ru
604e85ea3eeab1c46b7ec577	https://hh.ru/employer/581294	Мегаплан	https://hh.ru/vacancy/42445569?query=python	Продуктовый аналитик (Data Analyst)	руб.	130000	null	https://hh.ru
604e85ea3eeab1c46b7ec579	https://hh.ru/employer/3508081	Российская академия народного хозяйства и государственной службы при Президенте Российской Федерации	https://hh.ru/vacancy/42974100?query=python	Аналитик данных (data scientist)	руб.	120000	null	https://hh.ru
604e85ea3eeab1c46b7ec57b	https://hh.ru/employer/4382297	ООО МАГ Девелопмент	https://hh.ru/vacancy/42832748?query=python	Data Scientist	руб.	180000	120000	https://hh.ru
604e85ea3eeab1c46b7ec57d	https://hh.ru/employer/2070865	ООО Пилот Диалог	https://hh.ru/vacancy/39126632?query=python	Программист Python	руб.	null	160000	https://hh.ru
604e85ea3eeab1c46b7ec57f	https://hh.ru/employer/15478	Mail.ru Group	https://hh.ru/vacancy/40318319?query=python	Data Scientist в myTracker	null	null	null	https://hh.ru
604e85ea3eeab1c46b7ec581	https://hh.ru/employer/19989	ЕВРАЗ	https://hh.ru/vacancy/41794422?query=python	Python Developer	null	null	null	https://hh.ru
604e85ea3eeab1c46b7ec583	https://hh.ru/employer/5078562	Scalable Solutions	https://hh.ru/vacancy/42397159?query=python	Middle/Senior C++ Developer	руб.	null	250000	https://hh.ru
604e85ea3eeab1c46b7ec585	https://hh.ru/employer/2029737	HuskyJam	https://hh.ru/vacancy/42419632?query=python	Python разработчик (FastAPI)	null	null	null	https://hh.ru
604e85ea3eeab1c46b7ec587	https://hh.ru/employer/1527698	OpenWeather	https://hh.ru/vacancy/42843371?query=python	Python Developer	EUR	null	2000	https://hh.ru
604e85ea3eeab1c46b7ec589	https://hh.ru/employer/4657998	Foxcom SIA	https://hh.ru/vacancy/42676277?query=python	Fullstack разработчик (Python, PHP, JS)	EUR	3500	2200	https://hh.ru
604e85ea3eeab1c46b7ec58b	https://hh.ru/employer/3497676	ООО Лендсбэй	https://hh.ru/vacancy/42882919?query=python	Аналитик данных / Data scientist	null	null	null	https://hh.ru
604e85ea3eeab1c46b7ec58d	https://hh.ru/employer/1057	Лаборатория Касперского	https://hh.ru/vacancy/42990764?query=python	Разработчик Python	null	null	null	https://hh.ru
604e85ea3eeab1c46b7ec58f	https://hh.ru/employer/928274	А+С Транспроект	https://hh.ru/vacancy/42768842?query=python	Backend-разработчик (Python, Ruby)	null	null	null	https://hh.ru
604e85ea3eeab1c46b7ec591	https://hh.ru/employer/2643808	ООО «Баланс-Платформа»	https://hh.ru/vacancy/40097763?query=python	Разработчик Python (+ Удаленная работа)	null	null	null	https://hh.ru
604e85ea3eeab1c46b7ec593	https://hh.ru/employer/3388?dpt=3388-3388-gazprom	Газпромбанк	https://hh.ru/vacancy/39775853?query=python	Data scientst (модели машинного обучения)	null	null	null	https://hh.ru
604e85ea3eeab1c46b7ec595	https://hh.ru/employer/1057	Лаборатория Касперского	https://hh.ru/vacancy/42399463?query=python	Back-end Developer(C++ и Python).	null	null	null	https://hh.ru
604e85ea3eeab1c46b7ec597	https://hh.ru/employer/4721066	Фрифлекс	https://hh.ru/vacancy/42780421?query=python	Computer Vision Engineer	руб.	180000	110000	https://hh.ru
604e85ea3eeab1c46b7ec599	https://hh.ru/employer/3388	Газпромбанк	https://hh.ru/vacancy/39444384?query=python	Data Scientist	null	null	null	https://hh.ru
